player_id,position,oaa_rating,arm_rating,arm_rating_filled
605204,LF,15,,50
605353,3B,18,,50
605412,2B,69,,50
605480,CF,48,,50
605486,3B,5,,50
605548,CF,44,,50
605612,1B,42,,50
605612,2B,18,,50
606115,2B,53,,50
606115,SS,58,71,71
606132,LF,69,,50
606157,RF,70,,50
606192,CF,21,,50
606192,LF,25,,50
606192,RF,27,16,16
606299,2B,72,,50
606299,SS,85,,50
606466,2B,61,90,90
606466,CF,10,,50
606466,SS,40,,50
607043,CF,56,,50
607043,LF,75,21,21
607043,RF,70,,50
607054,2B,53,,50
607054,3B,82,,50
607208,SS,59,44,44
607680,CF,45,,50
608070,2B,78,,50
608070,3B,91,54,54
608324,3B,78,38,38
608336,1B,89,,50
608336,3B,27,,50
608336,LF,59,,50
608336,RF,82,,50
608365,2B,85,,50
608365,SS,98,,50
608369,SS,44,16,16
608384,RF,30,,50
608385,LF,15,,50
608475,3B,59,,50
608577,RF,43,,50
608597,1B,59,,50
608671,CF,70,,50
608671,LF,81,,50
608686,3B,78,,50
609275,SS,81,,50
609280,3B,8,,50
609280,LF,15,95,95
611177,3B,14,,50
614173,1B,9,,50
614177,RF,30,,50
621006,SS,40,,50
621020,SS,89,10,10
621028,SS,49,18,18
621035,2B,36,,50
621035,CF,35,,50
621035,LF,59,,50
621035,SS,51,,50
621043,SS,61,75,75
621433,CF,80,,50
621438,CF,66,64,64
621439,CF,90,55,55
621446,CF,24,,50
621453,CF,62,,50
621493,LF,88,25,25
621493,RF,78,,50
621514,LF,30,,50
621550,3B,21,,50
621563,2B,85,,50
621563,3B,78,,50
621563,SS,30,,50
621566,1B,92,62,62
622110,3B,65,,50
622534,CF,83,,50
622534,RF,86,,50
622666,3B,87,,50
622682,RF,48,,50
622761,2B,36,,50
622761,SS,76,,50
623205,SS,65,,50
623520,2B,44,,50
623520,3B,50,,50
623912,LF,81,,50
623993,LF,45,,50
623993,RF,43,,50
624413,1B,14,35,35
624414,2B,33,,50
624415,2B,44,,50
624415,3B,27,,50
624424,LF,65,63,63
624424,RF,58,,50
624428,2B,59,21,21
624503,LF,67,,50
624577,RF,62,,50
624585,LF,45,,50
624585,RF,13,19,19
624641,3B,50,,50
624641,SS,65,,50
628338,CF,70,,50
628356,3B,87,,50
628450,LF,22,,50
628451,2B,64,,50
630105,1B,42,,50
630105,2B,48,37,37
630111,RF,6,,50
640457,LF,59,,50
640458,CF,70,,50
640461,LF,87,,50
641313,SS,47,,50
641319,2B,27,,50
641343,1B,30,64,64
641343,LF,10,,50
641355,1B,18,,50
641355,CF,53,51,51
641355,LF,94,69,69
641355,RF,94,71,71
641432,LF,15,,50
641477,RF,92,,50
641487,SS,27,10,10
641513,RF,15,,50
641525,1B,73,,50
641531,3B,9,,50
641553,CF,96,,50
641583,CF,13,,50
641584,RF,77,57,57
641645,2B,74,,50
641658,CF,70,,50
641786,CF,62,,50
641820,1B,62,,50
641820,LF,12,,50
641820,RF,32,,50
641857,2B,18,,50
641857,3B,92,76,76
641933,LF,84,,50
642086,1B,50,6,6
642086,LF,7,,50
642133,1B,18,33,33
642162,2B,81,,50
642350,CF,93,,50
642708,SS,6,,50
642715,SS,62,85,85
642721,3B,59,,50
642727,SS,83,,50
642731,2B,95,32,32
643217,LF,27,11,11
643265,1B,89,,50
643289,2B,36,71,71
643289,LF,87,,50
643393,2B,41,,50
643393,LF,72,,50
643396,2B,53,,50
643396,SS,25,12,12
643446,2B,74,67,67
643524,1B,42,,50
643565,CF,40,,50
643565,LF,97,,50
643565,RF,55,8,8
643603,1B,89,,50
645277,2B,44,1,1
645302,CF,83,,50
646240,3B,22,,50
647304,1B,85,97,97
647351,1B,30,90,90
647351,2B,12,,50
647351,3B,59,,50
649557,SS,21,,50
649966,2B,18,44,44
649966,3B,39,,50
649966,SS,23,,50
650331,1B,93,,50
650333,1B,24,88,88
650333,2B,2,,50
650333,3B,50,,50
650391,LF,2,,50
650402,2B,21,25,25
650402,SS,11,,50
650489,2B,53,92,92
650489,SS,65,,50
650490,1B,14,22,22
650490,3B,21,,50
650559,LF,10,,50
650559,RF,28,,50
650859,2B,28,25,25
650859,3B,27,81,81
655316,3B,71,,50
656185,CF,48,,50
656252,1B,62,,50
656305,3B,94,89,89
656308,1B,54,,50
656371,2B,4,,50
656413,CF,40,,50
656448,LF,72,,50
656537,CF,40,39,39
656541,LF,59,,50
656555,1B,35,59,59
656555,LF,1,,50
656582,1B,79,,50
656582,LF,59,,50
656582,RF,70,,50
656716,3B,39,79,79
656775,CF,76,16,16
656811,1B,76,29,29
656896,3B,59,,50
656941,LF,5,,50
656976,RF,62,,50
657041,CF,17,74,74
657041,RF,20,,50
657077,CF,40,,50
657077,LF,50,88,88
657077,RF,70,,50
657557,SS,48,,50
657656,CF,24,,50
657656,LF,37,56,56
657656,RF,62,82,82
657757,1B,42,,50
657757,LF,22,50,50
657757,RF,28,,50
658069,3B,50,,50
658668,LF,22,,50
660162,2B,3,,50
660162,3B,44,16,16
660670,CF,29,,50
660670,LF,87,,50
660670,RF,12,89,89
660707,1B,22,,50
660757,RF,15,,50
660821,CF,13,,50
660821,RF,75,46,46
662139,CF,84,2,2
662139,LF,95,,50
662139,RF,99,,50
663368,CF,75,69,69
663457,CF,40,74,74
663457,LF,37,80,80
663457,RF,76,73,73
663538,2B,98,13,13
663538,SS,95,,50
663586,3B,23,48,48
663586,LF,59,,50
663611,2B,60,,50
663611,3B,96,,50
663616,LF,72,,50
663624,1B,63,2,2
663647,3B,99,8,8
663656,LF,94,,50
663656,RF,65,13,13
663697,2B,13,77,77
663757,CF,76,23,23
663837,CF,26,,50
663837,RF,70,,50
663845,1B,42,,50
663898,2B,40,65,65
663968,LF,59,52,52
663993,1B,51,66,66
664023,LF,52,30,30
664034,1B,51,11,11
664040,2B,19,46,46
664056,CF,86,80,80
664058,2B,91,,50
664058,3B,95,,50
664068,3B,71,,50
664068,SS,35,,50
664238,2B,74,21,21
664702,CF,87,4,4
664728,CF,91,13,13
664761,3B,33,33,33
664770,RF,86,59,59
664774,1B,24,45,45
664913,1B,42,,50
664913,LF,37,,50
664913,RF,76,,50
664983,CF,56,,50
664983,RF,48,,50
665019,2B,74,29,29
665120,1B,42,,50
665161,SS,71,30,30
665482,CF,48,,50
665487,RF,93,93,93
665487,SS,33,,50
665489,1B,6,95,95
665489,3B,1,,50
665506,CF,77,,50
665742,LF,42,,50
665742,RF,8,22,22
665750,CF,73,59,59
665828,3B,59,,50
665833,CF,29,99,99
665833,SS,16,,50
